name,website,companyLogo,description,funding,founded,headquarteredIn,geographicalFocus,typeOfWork,category,requiresDigitalAudience,applicationRequired,remoteWork,minimumAge,equipmentQualSkills,requirements,averageEarnings,timeToFirstDollar,numPeopleMakingMoney,profitModel,profitModelDescription,platformPricing,affiliateLink,founderMessage,founderName,founderTwitter,email,Notes,Signup Link
AppSumo Marketplace,https://appsumo.com,appsumo-logo.svg (https://dl.airtable.com/.attachments/284e3831422b0120e0883ab744c55a9b/143bf98d/appsumo-logo.svg),"Spotlight your best online courses, downloadable content, and apps to millions of everyday entrepreneurs on the AppSumo Marketplace, a collaborative digital market where creators and business owners thrive.",Bootstrapped,2010,"Austin, TX",Worldwide,"Ecommerce,Content Creator,Writer",Creator (monetize audience and fans),Yes,Yes,Yes,,Computer (with internet connection),"SaaS, course, ebook, PDF, or template library to promote",2000,60,540,Other,,It is free to list on the AppSumo Marketplace. Earn 95% of revenue when you bring a new buyer to AppSumo. Earn 70% from returning customers we bring to you.,,,,,julie@julierichter.co,,
Clicks Talent,clickstalent.com,transparent png.png (https://dl.airtable.com/.attachments/331241bfd3e54b0dee3d6999c539e979/2da549b5/transparentpng.png),"Join our client's live-streaming and short video platforms. Get paid per hours streamed, per videos uploaded, as well as get sponsorships for Instagram and TikTok. We handle payment and issues to ensure your experience is the best it can be while streaming.",Bootstrapped,2017,"Los Angeles, California","North America, Europe, Australia","Livestreamer,Content Creator",Creator (monetize audience and fans),No,Yes,Yes,16,Smartphone (with data),,1000,30,250,Free,,,,,,,ab@clickstalent.com,,
Panion,https://panion.com,Panion new-logo_flag_and_words_2020.png (https://dl.airtable.com/.attachments/0fa6f70afeb35b939b19147252c8b09b/c669c7be/Panionnew-logo_flag_and_words_2020.png),"Build a human-centric community experience through shared content, discussions, memberships, and events, directly into your website.",$0.6M,2018,"Malmö, Sweden",Worldwide,"Community Leader,Event Organizer",Creator (monetize audience and fans),Yes,No,Yes,,"Computer (with internet connection),Smartphone (with data)",Community management knowledge is a plus but not required,500,,25,Free,,,,"Our all-in-one solution allows you to build, grow and engage your community without having to juggle multiple tools. We provide a platform for your members to get to know each other on a deeper level and a host of features to facilitate communication, event management, member matchmaking, and mentorship. With our powerful analytics dashboard, we help you better understand the wants and needs of your community so you can make informed decisions that drive engagement and member satisfaction.",Melanie Aronson,https://twitter.com/melaniearonson,melanie@panion.com,,
City Shoppe,www.cityshoppe.com,CityShoppe_Logo_Main_Color.png (https://dl.airtable.com/.attachments/c1c6cc01ab6e4612346dd66b8fdfe2e9/7175ae4f/CityShoppe_Logo_Main_Color.png),Sell your local products to a global marketplace.,$0.1M,2019,"Portland, OR",North America,Ecommerce,SMB (creation of a business),No,Yes,Yes,,Computer (with internet connection),"SMB owner with a shop in Oregon, Seattle, NYC, LA, Nashville, Austin or Detroit",5000,,150,Other,,,,"As a former SMB owner, I experienced firsthand and grew frustrated with the impact tech giants control over our purchasing and the human, economic, and environmental cost of that control. Because of that, I created City Shoppe. We're dedicated to helping small businesses and retail survive, solving two problems that all local SMBs face: getting discovered and growing your business.

City Shoppe plans to change the way the world sees e-commerce, local shopping, how we value our community through the way we spend our dollars and time, and the support we give to the people behind the products we buy. Allowing businesses to be presented on the site for who they are, not just what they sell. We're creating an immersive experience that brings in each local city's ‘vibe’ and makes users feel like they are visiting somewhere, not just sorting products. ",Ash,,ash@cityshoppe.com,,
Plink,plinkhq.com,plink-word-and-logo-mark.jpg (https://dl.airtable.com/.attachments/a0a2c90897331971ea780cc7397dba35/13e9bf9f/plink-word-and-logo-mark.jpg),Plink makes smart podcast links that creators love and listeners deserve.,Bootstrapped,2019,"Missoula, MT",Worldwide,"Audio Content Creator,Podcaster",Creator (monetize audience and fans),No,No,Yes,,"Microphone,Smartphone (with data),Computer (with internet connection)","Podcast/audio content to promote,Some marketing and affiliate linking knowledge may be helpful",,1,150,Other,,Pro plan at $39/year or custom business pricing,,,,,scott@plinkhq.com,,
ReGlamed,ReGlamed.com,E071E934-97B7-4B2A-B829-920BD065717B.jpeg (https://dl.airtable.com/.attachments/0ac656bd707f5e4b491380f659ca57c7/28be1e3f/E071E934-97B7-4B2A-B829-920BD065717B.jpeg),"Earn cash for your formal dresses for including prom, pageant, balls, gala dresses, and more. ",Bootstrapped,2020,"Jacksonville, FL",North America,Reseller,SMB (creation of a business),No,No,Yes,,Computer (with internet connection),"PayPal account,Clothes to sell",,,100,Percentage Take Rate,10,,,"ReGlamed is a go to site for formalwear for events such as proms, pageants, galas, balls, formal weddings, formal art shows, tea parties, and more. I like to describe ReGlamed as a smart way to Recycle and Rebuy formal dresses and improve the environment from fashion pollution. ",Shamara Sloan,https://twitter.com/RGlamed,shamarasloan@gmail.com,,
GoShare,https://goshare.co,colorstackedFinal_Logos_GoShare_RGB.jpg (https://dl.airtable.com/.attachments/e5d7ced3abe446b4926e5d3a52fd90d4/b447e395/colorstackedFinal_Logos_GoShare_RGB.jpg),"Use your car, pickup truck, cargo van, or box truck to deliver items for businesses and individuals. ",Currently Raising,2015,"San Diego, CA",North America,"Driver,Tasks and Services",Gig (work on your time),No,Yes,No,18,"Car,Bank Account,Background Check","Vehicle less than 15 years old,Pass a Vehicle Inspection,Moving blankets, hand truck, and ratchet straps suggested (optional)",8000,1,8000,Other,,"You provide your own background check, or we can arrange for you to take one at a pass-through cost of $45.",,"I created GoShare first and foremost as an economic empowerment platform. GoShare’s technology enables thousands of entrepreneurs to manage their delivery business while providing critical delivery services to their local communities. GoShare provides a steady stream of deliveries, useful software tools, customer support, and supplemental cargo insurance for delivery professionals. I was the first delivery professional on our platform, so I know how hard our drivers work and how valuable their time is. This is a tool for them, with the goal of helping them be successful. ",Shaun Savage,https://twitter.com/goshare,melinda@goshare.co,,
Craftsman Creative,craftsmancreative.co,Craftsman Creative Logo Only.png (https://dl.airtable.com/.attachments/a394a935cfed7c5ad7b7a4406849fe61/69127ccc/CraftsmanCreativeLogoOnly.png),"Craftsman Creative helps influencers and educators serve their super fans through online courses. We create all of the courses for no up-front cost and do a simple split on the backend, help with launch and marketing, so the course creators have a new asset they can monetize.",Bootstrapped,2020,"Provo, Utah, USA","North America, Europe, Australia",Video Course Creator,Creator (monetize audience and fans),Yes,Yes,Yes,,"Computer (with internet connection),Smartphone (with data),Bank Account,Native English Speaker","10,000 followers/subscribers is our minimum on the site.",1500,30,11,Percentage Take Rate,50,,,"Our goal at Craftsman Creative is to help creatives better serve their audiences through online courses. We align with the creators to ensure that the courses reach as large an audience as possible so that they can grow their reach, influence, and their business.",Daren Smith,https://twitter.com/darentsmith,daren@craftsmancreative.co,,
clubba inc,https://getclubba.com,clubba 2400_1015.optionblueorgangetransparent.png (https://dl.airtable.com/.attachments/95bb3f03b78660b4186fb6b8c79f9982/bfa9418d/clubba2400_1015.optionblueorgangetransparent.png),"Offer virtual after-school clubs for Gen Z kids who want to be creators. We hire college students to be part of the passion economy and lead virtual clubs for kids. Themes include: fashionista, YouTuber video-making, photoshop editing, iPhone photography, and more.",$0.15M,2020,"Atlanta, GA",Worldwide,"Video Course Creator,Teacher",Creator (monetize audience and fans),No,Yes,Yes,18,"Computer (with internet connection),Microphone,Child care experience","Knowledge of field they choose to teach,College student or recent grad",500,3,100,Percentage Take Rate,40,,https://getclubba.com/?utm_source=atelier&utm_medium=affiliate%20link&utm_campaign=atelier%20signup,Clubba is a platform for college students to make money in the passion and creator economy by teaching and exposing kids to new things that expose them to their creative side. Kids learn from students who are doing side hustles in the passion economy. We expose kids to a new type of opportunity and capability in the passion and creator economy. Schools have basic clubs with no true expert leading. We solve this problem by bringing college students with experience into the mix.,Ifrah,,ifrah@getclubba.com,,
Communo,communo.com,CommunoLogo-Vertical-Black.png.png (https://dl.airtable.com/.attachments/0206bafab2c412b947a6a9028a78b72c/a9fbc8ae/CommunoLogo-Vertical-Black.png.png),"Do freelance work in marketing, creative, technology and design related fields for agencies and brands across north America. ",Bootstrapped,2016,"Calgary, AB","North America, Europe, Australia","Tech,Tasks and Services","Project-based / Freelance services (e.g. Fiverr, Upwork)",No,No,Yes,,Computer (with internet connection),"Relevant knowledge/skills in marketing, creative, tech or design fields",2500,45,40000,,,,,,,,patrick@communo.com,,
TRIBE,https://www.tribegroup.co/,TRIBELogoFC-LandingPage.png (https://dl.airtable.com/.attachments/05fc3fe7652448cf0db1a97b4d3bbece/8a7494e2/TRIBELogoFC-LandingPage.png),"Create a highly-customizable community platform to engage with your audience, as either a business or creator.",Bootstrapped,2014,"Melbourne, VIC",Worldwide,Community Leader,Creator (monetize audience and fans),Yes,No,Yes,18,"Smartphone (with data),Bank Account",Creativity,,7,7000,Free,,,,,,,etienne@tribegroup.co,,
Superset,supersetapp.com,ig-avatar-white-1.png (https://dl.airtable.com/.attachments/aa9b2e5547ec5aa1df3baf9fe0c799f2/041d669d/ig-avatar-white-1.png),"Create your own fitness app and offer amazing online workout programs, challenges, and monthly memberships. Zero coding or design experience required.",Bootstrapped,2020,"New York, NY",Worldwide,"Fitness Instructor,Content Creator",SMB (creation of a business),Yes,No,Yes,,"Smartphone (with data),Computer (with internet connection)",Fitness instruction experience,,14,24,Other,,"$50 (+12%) base, $250 (+0%) pro, $1000+ enterprise (custom)",,"Our mission is to help fitness creators scale to thousands of customers through their own app and digital experience. Creators using Superset retain full ownership of their brand, content, and community. Our one-to-many approach supports top creators earning hundreds of thousands of dollars per year.",,,taylor@supersetapp.com,,
Selar,Selar.co,selar-logo-web@2x.png (https://dl.airtable.com/.attachments/5d059e0ecef2a47da30dc26f94acc9c7/d4526104/selar-logo-web2x.png),"Creators in Africa can create an online store page like Selar.co/demo to sell any kind of digital products, e.g courses, ebooks, trainings, coaching services and even physical goods.",Bootstrapped,2016,"Lagos, Nigeria","Africa, Europe, North America",Ecommerce,Creator (monetize audience and fans),Yes,Yes,Yes,,"Smartphone (with data),Computer (with internet connection)",Content/product to sell (or pre-sell),300,0,400,Percentage Take Rate,4,,,,,,douglas@Selar.co,,
WOFH,getwofh.com,logo kjsajnsd.png (https://dl.airtable.com/.attachments/36a09add1d2321a86d8b0f7ac7c95608/7b0a798c/logokjsajnsd.png),Build your own online gym. WOFH provides tools for fitness professionals to go online and monetize their community with a subscription-based business model.,,2020,"San Francisco, CA ","North America, Europe, Australia",Fitness Instructor,Creator (monetize audience and fans),No,No,Yes,16,Computer (with internet connection),Fitness instruction skills,2000,,180,Other,,"10% Starter, $14 + 4% Premium, $40 + 2% Business",,Our mission is to allow any fitness professionals to set up in just one-click their own virtual gym.,,,fede@getwofh.com,,
Preffy,preffy.com,Preffy Logo-04 1 (1).png (https://dl.airtable.com/.attachments/2f8a56ba63117cc9b989ec53488683a6/72dc3ef2/PreffyLogo-0411.png),Preffy helps artists run competitions with cash prizes (anywhere from $50-$10k) to see who can get the most likes on a TikTok or Instagram Reel that features their song. Creators compete to win money by featuring the artist's song in their posts.,Currently Raising,2021,Los Angeles,North America,Content Creator,Creator (monetize audience and fans),Yes,No,Yes,13,Smartphone (with data),A public TikTok or Instagram account,500,14,20,Percentage Take Rate,10,,,"Preffy helps artists incentivize creators to use their music in posts through our prized-competition format. At the same time, we provide an unobtrusive monetization strategy for creators. ",Charlie Davis,https://twitter.com/Preffydotcom,charlie@preffy.com,,
BRUSHWRK,brushwrk.co.uk,logo_no_bg.png (https://dl.airtable.com/.attachments/f1b44bc5abc571bb77f60063c826a15a/7aa3b38e/logo_no_bg.png),Easily sell your art. Simply list your pieces and let our algorithm put them in front of people who will love them.,Currently Raising,2020,"London, UK",Europe,"Ecommerce,Content Creator",SMB (creation of a business),No,No,Yes,12,Smartphone (with data),Art to sell,,14,5,Percentage Take Rate,10,,,"The art world can be elitist. We want to help creatives from all backgrounds to showcase, sell and get their work off the ground and break in. BRUSHWRK is a collaborative community and marketplace where artists and creatives can share, interact and learn from one another. Our powerful machine learning-powered recommendation engine helps puts you in front of art you'll love, which also means more sales for artists. Everybody wins! Join us and let's make art accessible 💪.",Odie Edo-Osagie,https://twitter.com/odieED,odie@brushwrk.co.uk,,
Spacehuntr,https://spacehuntr.com/,Logo only.png (https://dl.airtable.com/.attachments/875db52cc3e093832065e2a3f0af3907/e86e2af9/Logoonly.png),"List your venue for event planners — past customers range from GitHub, Facebook, Tesla, and more.",$0.05M,2018,"Brussels, Belgium","North America, Europe, Australia",Rentals,Rentals,No,Yes,Yes,,Computer (with internet connection),"A suitable space to rent out for events like dining, conferences, more",,,50,Percentage Take Rate,15,,,,,,ysmit@spacehuntr.com,,
Fluz,https://fluz.app,fluzcrest-01.png (https://dl.airtable.com/.attachments/9d3ff3a7cf6588ee9f4f3a82eda7b272/40890c6e/fluzcrest-01.png),"Get paid when you shop and when your friends do too. Fluz is reinventing cashback so you get more.

",$2.5M,2018,New York,North America,Content Creator,Creator (monetize audience and fans),No,No,Yes,18,Smartphone (with data),Friends,2000,2,45000,Free,,,,"Fluz helps you earn cash back way beyond your own purchases. With Fluz, members earn fractions of a percent from a network of thousands, including connections they may never meet in person.",Maurice Harary,,maurice@fluz.app,,
ViaVii,viavii.com,ViaVii Logo.jpg (https://dl.airtable.com/.attachments/88777c4f59ff71de397978c86193e6a7/faa3e32b/ViaViiLogo.jpg),"Become a host and start hosting your experience with like-minded people from all over the world (virtual tours and activities - art, music, yoga etc, and in-person experiences).",$0.6M,2016,"Qatar, Doha and Amman, Jordan",Worldwide,Event Organizer,Gig (work on your time),No,Yes,Yes,,"Computer (with internet connection),Microphone",Virtual or IRL experience to offer,750,7,500,Percentage Take Rate,15,,,"ViaVii is an online platform that offers talented individuals to share their passion with like-minded people through offering their experiences virtually and in-person. In return, the platform offers personalization and uniqueness to users and travelers with unique authentic experiences led by passionate people and locals. Our mission is to democratize people-to-people experiences and support hosts, as per our commitment to SDG#11 - sustainable cities and communities. There are over 2000 experiences offered on ViaVii's platform and more than 500 hosts earning up to $500/month by sharing their passion and talent with people from all over the world. We want to offer an opportunity for everyone and anyone to earn money and experience authenticity by connecting with like-minded people and sharing their passion with the world.",Ramzi Madanat,https://twitter.com/madanat_ramzi,ramzi@viavii.com,"For in-person experiences, no equipment (computer, microphone, etc.) is needed",
Venku,https://www.venku.com,logo-venku-color.png (https://dl.airtable.com/.attachments/b7364987185db4fcec8f962b69e7af14/675d000c/logo-venku-color.png),"Earn income by hosting guests for hunting, fishing and other rustic adventures. ",Currently Raising,2019,"Cape Girardeau, Missouri",North America,Tasks and Services,Gig (work on your time),No,Yes,No,18,"Bank Account,Smartphone (with data)","Those providing outdoor experiences through Venku must adhere to all applicable laws & regulations in their State / County, per our Terms of Service. Hosts must keep necessary certifications up-to-date. ",,90,500,Free,,,,We help outdoor experience providers streamline their business operations so they can focus on what they enjoy most -- being in the woods or on the water with guests!,,,murielle@venku.com,,
Museema,museema.com,museema_logo_white_background_medium.png (https://dl.airtable.com/.attachments/6fed8cbf5e982ddbfd641f0457fead11/adb8bb97/museema_logo_white_background_medium.png),"Transform your art into unique apparel with industry-leading payouts. Apparel is presented tastefully, mimicking artwork in a museum.",Bootstrapped,2020,"Chicago, IL",Worldwide,Ecommerce,SMB (creation of a business),No,No,Yes,,Smartphone (with data),"PayPal account or Venmo,Art to sell",45,7,30,,,,,"Museema allows artists to create unique apparel and earn meaningful income without cheapening their art. At Museema, we put the artist first with our emphasis on artist profiles, signatures on products, and our weekly artist highlights on our Instagram profile.",Matt Papke,http://twitter.com/matt_papke,team@museema.com,Artists receive $15 for every one of their shirts sold on Museema.,
Flinkhub,flinkhub.com,flinkhub logo.png (https://dl.airtable.com/.attachments/0aa977f187e606b309d0936b2eeec800/ec030323/flinkhublogo.png),Monetise your knowledge by building your learning community.,$0.5M,2020,"Bangalore, India",Worldwide,Teacher,Creator (monetize audience and fans),No,No,Yes,13,"Computer (with internet connection),Smartphone (with data),Microphone",Having a niche expertise helps you stand out,1000,2,110,Percentage Take Rate,10,,,"Flinkhub is a monetisation platform for creators in learning. Creators build their learning communities on Flinkhub. They engage their audience and monetise offerings like courses, services, subscriptions etc.",Jerrin Joy,https://twitter.com/jerrinjoy,jerrin@flinkhub.com,,
Slip,slip.so,slip_white_bg.jpg (https://dl.airtable.com/.attachments/fa49d5786fd7c9f5c934241f147f6c1d/99f556b9/slip_white_bg.jpg),Build and sell interactive programming courses directly to your audience.,Bootstrapped,2021,"Fort Worth, TX","North America, Europe, Australia","Tech, Video Course Creator",Creator (monetize audience and fans),No,No,Yes,18,Computer (with internet connection),"Since Slip is a platform for teaching programming skills, authors must have programming skills to earn money. ",,2,4,Other,,$25/mo + 10% take,,Slip is the easiest way for developers to build and sell interactive programming courses. I built slip after launching an interactive programming course of my own and earning $10k in my first month. My mission now is to help developers earn passive income through their programming skills. Feel free to ask me any questions via DM on Twitter. I'm @KennethCassel.,Kenneth Casse,https://twitter.com/KennethCassel,kenneth@slip.so,,
Matchmade,matchmade.tv,MM logo_aqua and navy_square 1000x1000px.jpg (https://dl.airtable.com/.attachments/23e550d9d5df0e9a278d2b1255b3ddc0/9abf4379/MMlogo_aquaandnavy_square1000x1000px.jpg),Grow your audience with relevant sponsorships. Sign up to our platform and you’ll be offered the best deals for your channel based on your audience.,$8M,2016,"Berlin, Germany",Worldwide,Content Creator,"Project-based / Freelance services (e.g. Fiverr, Upwork)",Yes,Yes,Yes,,"Computer (with internet connection),Bank Account","A passion for creating original, high-quality content and an authentic connection their audience. ",215,,8000,Free,,,,,,,elizabeth@matchmade.tv,,
Skillful,www.joinskillful.com,skillful logo2.png (https://dl.airtable.com/.attachments/fc46e27da26f2a782b565cadd11e4831/82c7c155/skillfullogo2.png),"Coach mentees through a case or project that simulates a real-world problem you face on the job. Teach your mentees and provide them career guidance, while levelling up your own people-manager skillset, growing your network, and earning a great side-hustle. ",$0.75M,2020,"Toronto, Canada","North America, Europe",Coach,Gig (work on your time),No,Yes,Yes,25,Computer (with internet connection),"You are 3-8 years into your career and have at least 1.5 years of experience in a business role at a top tech company (e.g. you have a title like Product Manager, Strategy & Operations Manager, Product Operations Manager, Strategic Finance Manager, Strategic Partnerships Manager).",1000,30,30,Free,,,,"Skillful is a peer-to-peer online school. We believe that the best way to level up is to ""learn WHAT you need to know from WHO you need to know"". Mentors have the jobs our mentees want, so they make the perfect teacher/coach. Our programs are rigorous, live and time-bound, which creates a dynamic and tight-knit community. Our mentors are integral to the Skillful community - they love the mentor network, talent pipeline and manager training that we provide. Plus, they have the opportunity to create their own cases and projects without needing an audience.",Loren Cohen,,loren@joinskillful.com,,
Ownnit,https://ownnit.com/,Ownnit Logo.jpg (https://dl.airtable.com/.attachments/a4f43a796271dace2c414b6a5db6b9c8/4c187afc/OwnnitLogo.jpg),"Share your knowledge, or offer a service through 1-on-1 video calls! ",Bootstrapped,2021,"Toronto, Canada","North America, Europe, Australia",Content Creator,Creator (monetize audience and fans),No,No,Yes,,"Smartphone (with data),Computer (with internet connection)",,1500,4,25,Percentage Take Rate,20,,,"If you're interested in making yourself available through Ownnit, feel free to sign up or shoot us an email if you have any questions to Zac@ownnit.com!! We launched at the end of January 2021, and we're really encouraged by all the feedback we've received so far! If you have any ideas, suggestions or thoughts to share, they are most definitely welcome :)",Zac,https://twitter.com/Ownnit_,zac@ownnit.com,,
QuikPlace,https://quikplace.io,"IMG_6396.jpeg (https://dl.airtable.com/.attachments/c2b7773cc20792de74aa4c998c8a0de5/35695186/IMG_6396.jpeg),QP-Overview-Graphic.png (https://dl.airtable.com/.attachments/1b26f8a02323b704fa30f37c50986472/95082399/QP-Overview-Graphic.png)","Get deals with brands, record labels, and artists by listing your Instagram, TikTok, YouTube, or Twitter on QuikPlace, the largest public creator marketplace. ",Bootstrapped,2020,"Miami, Florida",Worldwide,Content Creator,Creator (monetize audience and fans),Yes,Yes,Yes,,Smartphone (with data),"Organic following and engagement on Instagram, TikTok, YouTube, or Twitter",750,,3100,Percentage Take Rate,20,,,,,,tanner@quikplace.io,,
Norby,https://www.norby.live/,sidehustle.jpg (https://dl.airtable.com/.attachments/8ed2a7f7472189925a7f02f58065716a/7fadb140/sidehustle.jpg),"Easily build a custom link in bio, send SMS campaigns and reminders, host events and sell tickets with no fees, design custom landing pages and sign up forms, and more.",$0.5M,2020,"Brooklyn, NY","North America, Europe, Australia",Content Creator,Creator (monetize audience and fans),No,Yes,Yes,13,"Computer (with internet connection),Smartphone (with data)",Appropriate technology for livestreaming,,,200,Subscription Fee,20,,,"Norby is the only tool you need to grow your audience and build a cross-platform community. Use it to build relationships by hosting events and selling tickets, drive engagement with a beautiful link in bio, activate followers with email newsletters and SMS campaigns, and analyze your funnel to better understand what inspires and motivates your followers.","Nick Gerard, Sam Safer Valentine, & Steven Layne","https://twitter.com/nickgerard,https://www.instagram.com/samerinsafer/,https://twitter.com/Kingofthemag",sam@norby.live,,
Traverse.link,https://traverse.link/creator,Group 12(1).svg (https://dl.airtable.com/.attachments/76f4bb6762d5070e6423c0ee1c6d77fd/47d702cd/Group121.svg),"Create and sell a microlearning course about any subject. Start from pre-existing content like blogs, books, videos, flashcards, or from scratch by taking notes.",Bootstrapped,2020,London,Worldwide,Video Course Creator,Creator (monetize audience and fans),No,No,Yes,,"Computer (with internet connection),Smartphone (with data)",,100,7,3,Percentage Take Rate,10,,https://traverse.link/creator?affiliate=shs,Traverse.link is a platform to quickly create and sell a microlearning course from your existing knowledge. It helps you iterate quickly to validate your course idea. Effective learning techniques provide value for your students even after you're ready to jump to a full blown video course.,Dominic Zijlstra,https://twitter.com/TraverseLink,dominic@traverse.link,,
Minema,minema.space,BigM V2.png (https://dl.airtable.com/.attachments/4366af8ea0cb397c5b5b26ecf33a7243/744d2d03/BigMV2.png),"Help event organizers create and run virtual and hybrid events. Manage Zoom breakout rooms, video edit prerecorded content, film a livestream, or take someone's idea and channel your inner event planner and execute on it. ",Bootstrapped,2020,"San Francisco, CA","North America, Europe, Australia",Event Organizer,"Project-based / Freelance services (e.g. Fiverr, Upwork)",No,Yes,Yes,,Computer (with internet connection),"For specific roles such as technical director and cameraperson specific knowledge is needed. Just getting started in the industry? No worries, you can enter at our lowest tier level and work your way into higher earning tiers over time. ",2500,30,20,Percentage Take Rate,15,,,,,,nate@minema.space,,
Clubba Helpers,https://clubba.app,clubba helpers logo.png (https://dl.airtable.com/.attachments/a6fc050407ab73f1e1111b761f7ff2fd/782c5eae/clubbahelperslogo.png),Get paid to help kids with homework,$0.15M,2020,"Atlanta, GA","North America, Europe, Australia",Teacher,Gig (work on your time),No,Yes,Yes,18,"Computer (with internet connection), Child Care Experience",,250,1,100,Percentage Take Rate,10,,,"Hi everyone, I'm ifrah and I'm the co-founder of clubba helpers. We're looking for homework helpers and tutors to help kids during the post pandemic stress of being behind in school. I'd love to have you on as a helper! ",Ifrah,https://www.instagram.com/ifyy_khan/,concierge@getclubba.com,,
CloudDevs,https://clouddevs.com/,logowithnameflatwhite.jpg (https://dl.airtable.com/.attachments/bde6d714549bc28c755b95a3ca0e3c39/44819a82/logowithnameflatwhite.jpg),Get paid to work as a developer or designer.,Bootstrapped,2020,Delaware,"North America, South America, Europe",Tech,Gig (work on your time),No,Yes,Yes,18,Computer (with internet connection),Tools to complete desired freelance work,,14,100,Percentage Take Rate,20,,,,,,al@clouddevs.io,,
YouPlanets,youplanets.com,"LOGO w_ name.png (https://dl.airtable.com/.attachments/8908ae36c5df03136c1a9912ccde3c5c/8e62401b/LOGOw_name.png),logo only-social media.png (https://dl.airtable.com/.attachments/4823c915372936c08d3cf3772274038b/13f3b105/logoonly-socialmedia.png)","Make a monthly income by giving your fans access to exclusive content, live events, or buying 1-on-1 services on your planet.",$0.05M,2020,New York,Worldwide,Content Creator,Creator (monetize audience and fans),No,Yes,Yes,,"Computer (with internet connection),Bank Account",,,1,20,Free,,,,"YouPlanets makes it easy and free for creators to build a subscription community to bring together members, events, live discussions, and 1-on-1 Q&A and video calls.  Think YouPlanets as ""Substack for creator's community"". One thing different is that YouPlanets is always free for creators with no commission fee. ",Jalen Fu,https://twitter.com/Jalen_Fu,jalen@youplanets.com,,
Grailed,www.grailed.com/,,Become a seller in a curated community marketplace for men's clothing.,$16.5M,2013,,,Reseller,Reseller,No,No,Yes,,"Computer (with internet connection),Smartphone (with data)","Items to sell: including high-quality, coveted items (think luxury), new streetwear releases and drops, high-end classic menswear, well-known mass market brands, and vintage clothing, Ability to ship items ",,,,Percentage Take Rate,9,,,,,,,People making money on the platform is unknown but the site has over 3.7 million users (2019),
StockX,stockx.com/,,Sell items on an online a live bid/ask marketplace (stock market) for buying and selling limited edition and high demand sneakers.,$160.2M,2015,,,Ecommerce ,Reseller,No,No,Yes,,"Computer (with internet connection),Smartphone (with data)","Items to sell including: authentic, unworn sneakers, trading cards, luxury goods, electronics and more, Ability to ship items ",,,,Other,,"Transaction fee is dependant on how much you have sold previously on StockX: from 9.5% on your first sale to 8% once you've made either 100 sales or $25,000. In addition, some items have flat fees like Handbags (14.5%) or Watches (9.9%). 3% payment fee.",,,,,,,
GOAT,www.goat.com/,,Become a seller on a global platform that offers apparel and accessories from contemporary luxury brands.,$5M,2015,,,"Fashion,Reseller",Reseller,No,Yes,Yes,,"Computer (with internet connection),Smartphone (with data)","Must be an approved seller,Items to sell,Ability to ship items",,,,Other,,The commission fee ranges from 9.5-25%. Seller fees start at 5$ for US sellers and increase internationally. There is a 2.9% fee for all cash outs. ,,,,,,,
Curtsy,www.curtsyapp.com/,,"Sell your cutest women's clothing, both vintage and designer, with ease.",$1.6M,2015,,,Reseller,Reseller,No,No,Yes,,"Computer (with internet connection),Smartphone (with data)","Items to sell including most types of womens clothing,Ability to ship items",,,,Other,,20% platform fee or $3 for items under $15,,,,,,,
Poshmark,poshmark.com,,Become a seller on the largest social marketplace for fashion.,Public Company,2011,,,Reseller,Reseller,No,No,Yes,,"Computer (with internet connection),Smartphone (with data)","Items (predominantly fashion) to sell,Ability to ship items",,,5000000,Other,,"For sales under $15, the fee is a flat rate of $2.95. For sales above $15, the fee is a 20% commission fee.",,,,,,"Top sellers have been able to pull in amounts ranging from $10,000 to around $100,000 a year.",
Patreon,www.patreon.com,,Earn a monthly income by giving your subscribers access to exclusive content and custom rewards.,$413.3M,2013,,,Content Creator,Creator (monetize audience and fans),Yes,No,Yes,,"Computer (with internet connection),Smartphone (with data)",Any type of creative pursuit (from podcasting to game creation and everything in between),,,200000,Other,,Take rate ranges from 5-12%,https://www.patreon.com/signup?ru=%2Fcreate,"Patreon is a content and community platform for creators and their most passionate fans. There are over 6M patrons subscribing to over 200,000 creators, paying them over $1B per year in exchange for access to exclusive content, gated community, member-only merchandise, and more. Not only is Patreon helping creators turn their dreams into legitimate creative businesses, but it's changing the economics of creativity and bringing fans closer to their favorite creators along the way.",Jack Conte,https://twitter.com/jackconte?lang=en,,,
Torch,https://torch.io/,,Commit to a 3-12 month coaching engagement (typically 2x60 minute sessions per month) to help coach emerging leaders and mid level managers to become better leaders.,$18.9M,2017,,,Coach,Gig (work on your time),No,Yes,Yes,,Computer (with internet connection),"Background in the tech/business world, a graduate degree in Clinical or Counseling Psychology, Human Development, Organizational Development, MBA, or a related field, an ICF-accredited coaching certification and/or substantial experience coaching leaders at multiple levels, confidential space for hosting client sessions via Zoom.",1000,,,,,,,,,,,,
Dumpling,dumpling.us,,Run your own grocery shopping & delivery business from your phone.,$10M,2017,,,Personal Shopper,SMB (creation of a business),No,No,No,,"Smartphone (with data),Car",,,,2000,Other,,One time $20 fee and tiers of membership (from $0 to $99/month).,,"Dumpling is built by a diverse and passionate team of change makers, entrepreneurs, and former gig economy workers, all dedicated to ushering in a future where everyone who works can control their own fortune. The company is headquartered in Berkeley, Seattle, and homes across the country.",Nate D'Anna,http://twitter.com/dumplicious,,$33 in average earnings per order (2020),
